full_name,Country,National_party,political_group,role
Mariela Velichkova BAEVA,Bulgaria,Movement for Rights and Freedoms,Group of the Alliance of Liberals and Democrats for Europe,Member
Louis BAILLOT,France,Parti communiste français,Communist and Allies Group,Substitute
Francisco Pinto BALSEMÃO,Portugal,Partido Social Democrata,Liberal and Democratic Reformist Group,
Martin BANGEMANN,Germany,Freie Demokratische Partei,Liberal and Democratic Group,Member
Otto BARDONG,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian-Democratic Group),Member
Heribert BARRERA I COSTA,Spain,Coalición por la Europa de los Pueblos: Esquerra Republicana de Catalunya (ERC),Rainbow Group in the European Parliament,Member
Paolo BARTOLOZZI,Italy,Forza Italia,Group of the European People's Party (Christian Democrats),Member
Roger BARTON,United Kingdom,Labour Party,Group of the Party of European Socialists,Member
Domenico Antonio BASILE,Italy,Alleanza nazionale,Union for Europe of the Nations Group,Substitute
Robert BATAILLY,France,Parti radical,Liberal and Democratic Reformist Group,
Katerina BATZELI,Greece,Panellinio Socialistiko Kinima,Socialist Group in the European Parliament,Chair
Charles E. BAUR,France,Union pour la démocratie française - Parti social démocrate,Liberal and Democratic Reformist Group,Substitute
Daniel BAUTISTA,Spain,Partido Popular,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Zsolt László BECSEY,Hungary,Fidesz-Magyar Polgári Szövetség,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Spalato BELLERE',Italy,Alleanza nazionale,Non-attached,Member
Rolf BEREND,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats) and European Democrats,Vice-Chair
Pier Luigi BERSANI,Italy,Uniti nell'Ulivo,Socialist Group in the European Parliament,Substitute
The Lord Nicholas BETHELL,United Kingdom,Conservative and Unionist Party,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Vincenzo BETTIZA,Italy,Partito liberale italiano,Group of the Party of European Socialists,Member
Luc Ch.H. BEYER DE RYKE,Belgium,Parti réformateur libéral,Liberal and Democratic Reformist Group,Substitute
Ward BEYSEN,Belgium,Vlaamse liberalen en democraten,Non-attached,Substitute
Jean-Jacob BICEP,France,Europe Écologie,Group of the Greens/European Free Alliance,Member
Rosaria BINDI,Italy,Democrazia cristiana,Group of the European People's Party (Christian-Democratic Group),Substitute
John A.W. BIRD,United Kingdom,Labour Party,Group of the Party of European Socialists,Substitute
Leonie G.L. van BLADEL,Netherlands,Partij van de Arbeid,Group Union for Europe,Vice-Chair
Freddy BLAK,Denmark,Socialdemokratiet,Confederal Group of the European United Left/Nordic Green Left,Vice-Chair
Undine-Uta BLOCH von BLOTTNITZ,Germany,Bündnis 90/die Grünen,The Green Group in the European Parliament,Substitute
Johannes BLOKLAND,Netherlands,Staatkundig Gereformeerde Partij - Gereformeerd Politiek Verbond - Reformatorisch Politieke Federatie,Independence/Democracy Group,Member
Roland BLUM,France,Union pour la démocratie française,Liberal and Democratic Reformist Group,Member
Kazys Jaunutis BOBELIS,Lithuania,Krikščionių demokratų sajunga,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Reinhold L. BOCKLET,Germany,Christlich-Soziale Union in Bayern e.V.,Group of the European People's Party (Christian-Democratic Group),Chair
Guido BODRATO,Italy,Partito popolare italiano,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Jørgen BØGH,Denmark,Folkebevægelsen mod EF,"Rainbow Group: Federation of the Green-Alternative European Links, Agelev-Ecolo, the Danish People's Movement against Membership of the European Community and the European Free Alliance in the European Parliament",Substitute
Christian Ulrik von BOETTICHER,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Bruno BOISSIÈRE,France,Les Verts-Europe-Ecologie,The Green Group in the European Parliament,Member
Alain BOMBARD,France,Parti socialiste,Group of the Party of European Socialists,Member
Aldo BONACCINI,Italy,Partito comunista italiano,Communist and Allies Group,Substitute
Jens-Peter BONDE,Denmark,Folkebevægelsen mod EF,Independence/Democracy Group,Substitute
Emma BONINO,Italy,Partito radicale,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Gian Piero BONIPERTI,Italy,Forza Italia,Group of the European People's Party (Christian-Democratic Group),Substitute
Rinaldo BONTEMPI,Italy,Partito comunista italiano,Group of the Party of European Socialists,Substitute
Johanna L.A. BOOGERD-QUAAK,Netherlands,Democraten 66,"Group of the European Liberal, Democrat and Reform Party",Member
Elise C.A.M. BOOT,Netherlands,Christen Democratisch Appèl,Non-attached,Member
Graham BOOTH,United Kingdom,UK Independence Party,Independence/Democracy Group,Substitute
André BORD,France,Défence des intérêts de la France en Europe,Group of European Progressive Democrats,Member
Franco BORGO,Italy,Democrazia cristiana,Group of the European People's Party (Christian-Democratic Group),Substitute
Preslav BORISSOV,Bulgaria,Citizens for European Development of Bulgaria,Group of the European People's Party (Christian Democrats),Member
Josep BORRELL FONTELLES,Spain,Partido Socialista Obrero Español,Socialist Group in the European Parliament,Chair
Bob van den BOS,Netherlands,Democraten 66,"Group of the European Liberal, Democrat and Reform Party",Substitute
Herbert BÖSCH,Austria,Sozialdemokratische Partei Österreichs,Socialist Group in the European Parliament,Member
Umberto BOSSI,Italy,Lega Nord per l'indipendenza della Padania,Union for Europe of the Nations Group,Member
Gerhard BOTZ,Germany,Sozialdemokratische Partei Deutschlands,Group of the Party of European Socialists,Member
Yasmine BOUDJENAH,France,Parti communiste français,Confederal Group of the European United Left/Nordic Green Left,Substitute
Philippe BOULLAND,France,Union pour un Mouvement Populaire,Group of the European People's Party (Christian Democrats),Member
Jean-Louis BOURLANGES,France,sans étiquette,Group of the Alliance of Liberals and Democrats for Europe,Member
Catherine BOURSIER,France,Parti socialiste,Socialist Group in the European Parliament,Member
Bernadette BOURZAI,France,Parti socialiste,Socialist Group in the European Parliament,Vice-Chair
Ioannis BOUTOS,Greece,Nea Dimokratia,Group of the European Democratic Alliance,Member
Theodorus J.J. BOUWMAN,Netherlands,GroenLinks,Group of the Greens/European Free Alliance,Chair
David Robert BOWE,United Kingdom,Labour Party,Group of the Party of European Socialists,Member
John BOWIS,United Kingdom,Conservative and Unionist Party,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Arkadiusz Tomasz BRATKOWSKI,Poland,Polskie Stronnictwo Ludowe,Group of the European People's Party (Christian Democrats),Substitute
Mihael BREJC,Slovenia,Socialdemokratska stranka Slovenije,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Georges de BRÉMOND d'ARS,France,Union pour la démocratie française,Group of the European People's Party (Christian-Democratic Group),Substitute
Giuseppe BRIENZA,Italy,Centro cristiano democratico,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Mathilde M. van den BRINK,Netherlands,Partij van de Arbeid,Group of the Party of European Socialists,Substitute
Laurens Jan BRINKHORST,Netherlands,Democraten 66,"Group of the European Liberal, Democrat and Reform Party",Substitute
José António BRITO APOLONIA,Portugal,Partido Comunista Português,Communist and Allies Group,Vice-Chair
Beate Ann BROOKES,United Kingdom,Conservative and Unionist Party,European Democratic Group,Member
Renato BRUNETTA,Italy,Forza Italia,Group of the European People's Party (Christian Democrats) and European Democrats,Vice-Chair
Carlos María BRU PURÓN,Spain,Partido Socialista Obrero Español,Group of the Party of European Socialists,Member
Zuzana BRZOBOHATÁ,Czechia,Česká strana sociálně demokratická,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
John BUFTON,United Kingdom,United Kingdom Independence Party,Europe of freedom and democracy Group,Member
Paul van BUITENEN,Netherlands,Europa Transparant,Group of the Greens/European Free Alliance,Member
Wolfgang BULFON,Austria,Sozialdemokratische Partei Österreichs,Socialist Group in the European Parliament,Member
Nicodim BULZESC,Romania,Partidul Democrat,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Staffan BURENSTAM LINDER,Sweden,Moderata samlingspartiet,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Ieke van den BURG,Netherlands,Partij van de Arbeid,Socialist Group in the European Parliament,Member
Martine BURON,France,Parti socialiste,Group of the Party of European Socialists,Member
Giovanni M.S. BURTONE,Italy,Partito popolare italiano,Group of the European People's Party (Christian-Democratic Group),Member
Daniela BURUIANĂ-APRODU,Romania,Partidul România Mare,Non-attached Members,Member
Philip BUSHILL-MATTHEWS,United Kingdom,Conservative and Unionist Party,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Zdravka BUŠIĆ,Croatia,Hrvatska demokratska zajednica,Group of the European People's Party (Christian Democrats),Substitute
Philippe BUSQUIN,Belgium,Parti socialiste,Socialist Group in the European Parliament,Member
Antonino BUTTAFUOCO,Italy,Movimento sociale italiano - Destra nazionale,Group of the European Right,Member
Rocco BUTTIGLIONE,Italy,Cristiani democratici uniti,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Esteban CAAMAÑO BERNAL,Spain,Partido Socialista Obrero Español,Socialist Group,Member
Pío CABANILLAS GALLAS,Spain,Coalición Popular,Group of the European People's Party (Christian-Democratic Group),Member
Jesús CABEZÓN ALONSO,Spain,Partido Socialista Obrero Español,Group of the Party of European Socialists,Substitute
Richard G. CABORN,United Kingdom,Labour Party,Socialist Group,Member
Milan CABRNOCH,Czechia,Občanská demokratická strana,European Conservatives and Reformists Group,Member
Ernesto CACCAVALE,Italy,Forza Italia,Group Union for Europe,Member
Massimo CACCIARI,Italy,I Democratici,"Group of the European Liberal, Democrat and Reform Party",Substitute
Henri-Guy CAILLAVET,France,Union pour la France en Europe,Socialist Group,Member
Joan CALABUIG RULL,Spain,Partido Socialista Obrero Español,Socialist Group in the European Parliament,Substitute
Luigi CALIGARIS,Italy,Forza Italia,"Group of the European Liberal, Democrat and Reform Party",Substitute
Martin CALLANAN,United Kingdom,Conservative and Unionist Party,European Conservatives and Reformists Group,Member
Juan José de la CÁMARA MARTÍNEZ,Spain,Partido Socialista Obrero Español,Group of the Party of European Socialists,Member
Felipe CAMISÓN ASENSIO,Spain,Partido Popular,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Jorge CAMPINOS,Portugal,Partido Socialista,Socialist Group,Chair
António CAMPOS,Portugal,Partido Socialista,Group of the Party of European Socialists,Substitute
Mogens CAMRE,Denmark,Dansk Folkeparti,Union for Europe of the Nations Group,Member
Antonio CANCIAN,Italy,Il Popolo della Libertà,Group of the European People's Party (Christian Democrats),Member
Pascal CANFIN,France,Europe Écologie,Renew Europe Group,Member
Luis Manuel CAPOULAS SANTOS,Portugal,Partido Socialista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Marie-Arlette CARLOTTI,France,Parti socialiste,Socialist Group in the European Parliament,Substitute
Gunilla CARLSSON,Sweden,Moderata samlingspartiet,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Pierre CARNITI,Italy,Partito socialista italiano,Group of the Party of European Socialists,Member
Giorgio CAROLLO,Italy,Forza Italia,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Salvatore CARONNA,Italy,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Massimo CARRARO,Italy,Democratici di Sinistra,Group of the Party of European Socialists,Substitute
Maria CARRILHO,Portugal,Partido Socialista,Group of the Party of European Socialists,Substitute
Maria da Graça CARVALHO,Portugal,Partido Social Democrata,Group of the European People's Party (Christian Democrats),Member
Paulo CASACA,Portugal,Partido Socialista,Socialist Group in the European Parliament,Member
Carlo CASINI,Italy,Democrazia cristiana,Group of the European People's Party (Christian Democrats),Chair
José Ramón CASO GARCIA,Spain,Centro Democràtico y Social,Liberal and Democratic Reformist Group,Substitute
Maria Luisa CASSANMAGNAGO CERRETTI,Italy,Democrazia cristiana,Group of the European People's Party (Christian-Democratic Group),Member
Bryan M.D. CASSIDY,United Kingdom,Conservative and Unionist Party,Group of the European People's Party (Christian-Democratic Group),Substitute
Pierluigi CASTAGNETTI,Italy,Partito popolare italiano,Group of the European People's Party (Christian-Democratic Group),Substitute
Luciana CASTELLINA,Italy,Partito democratico di unità proletaria,Confederal Group of the European United Left/Nordic Green Left,Member
Anna CATASTA,Italy,Partito comunista italiano,Group of the Party of European Socialists,Member
Sir Fred CATHERWOOD,United Kingdom,Conservative and Unionist Party,Group of the European People's Party (Christian-Democratic Group),Substitute
Gérard CAUDRON,France,Parti socialiste,Confederal Group of the European United Left/Nordic Green Left,Substitute
Marco CELLAI,Italy,Movimento sociale italiano - Destra nazionale,Non-attached,Member
Domenico CERAVOLO,Italy,Partito comunista italiano,Communist and Allies Group,Member
Alejandro CERCAS,Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Luigi CESARO,Italy,Forza Italia,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Ozan CEYHUN,Germany,Bündnis 90/die Grünen,Group of the Party of European Socialists,Member
Pierre M.A. CEYRAC,France,Front national,Non-attached,Member
